epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,476.316,1.61103,2.70067,2.12396,0.38094,0.54136,0.42987,0.27533,1.15799,2.21008,1.92435,0.000548258,0.000548258,0.000548258
2,956.253,1.14134,1.4894,1.84734,0.58953,0.54853,0.59614,0.40964,1.06644,1.46856,2.0596,0.001093,0.001093,0.001093
3,1418.68,1.0744,1.2553,1.82122,0.65812,0.55452,0.62086,0.43095,1.07624,1.44917,2.08087,0.00162673,0.00162673,0.00162673
4,1894.42,1.00414,1.13729,1.78535,0.47864,0.61671,0.60585,0.40681,1.05194,1.50451,2.04194,0.00161749,0.00161749,0.00161749
5,2380.78,0.99589,1.03146,1.79569,0.58586,0.64736,0.66088,0.46844,1.01766,1.24657,2.10343,0.00160099,0.00160099,0.00160099
6,2845.55,0.95981,0.96329,1.81904,0.66795,0.62738,0.66418,0.43045,1.07898,1.27022,2.03168,0.00158448,0.00158448,0.00158448
7,3322.97,0.90334,0.90744,1.78652,0.72002,0.66691,0.71183,0.49365,1.05694,1.14203,2.11496,0.00156798,0.00156798,0.00156798
8,3792.5,0.88193,0.8917,1.78046,0.66817,0.60975,0.70537,0.50674,1.0409,1.28667,2.16735,0.00155148,0.00155148,0.00155148
9,4262.94,0.86648,1.0112,1.75109,0.65726,0.60679,0.63309,0.43267,1.05496,1.365,2.20445,0.00153497,0.00153497,0.00153497
10,4728.28,0.8631,0.82807,1.75954,0.68783,0.68414,0.75169,0.53627,1.01087,1.10821,2.10499,0.00151847,0.00151847,0.00151847
11,5195.31,0.85866,0.79255,1.77694,0.77335,0.63824,0.74736,0.53419,1.00798,1.04221,2.10248,0.00150197,0.00150197,0.00150197
12,5660.47,0.81512,0.72824,1.75838,0.70053,0.66945,0.71461,0.50293,1.02256,1.08866,2.14371,0.00148546,0.00148546,0.00148546
13,6217.43,0.80898,0.72653,1.73029,0.72902,0.64089,0.70494,0.51255,1.02022,1.15386,2.0513,0.00146896,0.00146896,0.00146896
14,6768.7,0.80367,0.69462,1.74322,0.67953,0.73107,0.75259,0.54359,0.9837,1.03511,2.14793,0.00145246,0.00145246,0.00145246
15,7314.8,0.80562,0.70675,1.75125,0.70731,0.6581,0.71098,0.52422,1.00055,1.16213,2.12222,0.00143595,0.00143595,0.00143595
16,7818.89,0.79969,0.70811,1.74708,0.7129,0.67814,0.71547,0.51326,1.00909,1.08829,2.1537,0.00141945,0.00141945,0.00141945
17,8309.5,0.76303,0.66691,1.7192,0.70681,0.62228,0.67557,0.49355,1.01683,1.21933,2.09182,0.00140295,0.00140295,0.00140295
18,8813.22,0.77793,0.69824,1.68803,0.73057,0.64266,0.72171,0.52833,0.9724,1.18962,2.0585,0.00138644,0.00138644,0.00138644
19,9307.36,0.75586,0.6596,1.70995,0.74775,0.62536,0.70803,0.50986,1.0387,1.20378,2.11728,0.00136994,0.00136994,0.00136994
20,9798.63,0.75524,0.63371,1.70526,0.65825,0.73017,0.73502,0.53046,1.0005,1.05645,2.14251,0.00135344,0.00135344,0.00135344
21,10295.3,0.73434,0.60944,1.68322,0.72273,0.70786,0.7349,0.54587,0.97594,1.06516,2.10592,0.00133693,0.00133693,0.00133693
22,10798,0.73633,0.62619,1.68432,0.79589,0.6202,0.73342,0.53605,0.98998,1.18144,2.13512,0.00132043,0.00132043,0.00132043
23,11308.7,0.7232,0.59635,1.67522,0.70488,0.62926,0.69293,0.49569,0.97523,1.1083,2.13564,0.00130393,0.00130393,0.00130393
24,11809.6,0.7112,0.59634,1.6858,0.69505,0.7122,0.72069,0.51906,1.0376,1.07941,2.17896,0.00128742,0.00128742,0.00128742
25,12343.7,0.70267,0.58485,1.70179,0.71258,0.65634,0.71973,0.52864,0.98758,1.15869,2.09853,0.00127092,0.00127092,0.00127092
26,12847.5,0.69991,0.5867,1.68027,0.6992,0.64308,0.7137,0.52483,0.99293,1.17783,2.17545,0.00125442,0.00125442,0.00125442
